-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
September,18,797,915,"1,033",56.4,0.95,1.19,1.44,0.11,1.23,1.44,1.75,0.14
September,19,778,915,"1,033",58.3,0.92,1.19,1.46,0.11,1.18,1.44,1.77,0.14
September,20,764,901,"1,020",59.1,0.90,1.17,1.48,0.12,1.16,1.41,1.79,0.14
September,21,774,905,"1,003",54.1,0.91,1.18,1.44,0.11,1.17,1.43,1.74,0.14
September,22,836,952,"1,067",54.6,0.99,1.25,1.54,0.12,1.27,1.52,1.86,0.14
September,23,904,"1,034","1,188",60.9,1.13,1.37,1.71,0.14,1.41,1.65,2.08,0.16
September,24,945,"1,112","1,264",69.7,1.22,1.49,1.81,0.15,1.50,1.79,2.20,0.18
October,Monthly Average,722,915,"1,217",109.4,0.72,1.22,1.81,0.20,1.07,1.47,2.04,0.21
October,1,907,"1,059","1,168",73.6,1.02,1.43,1.70,0.16,1.38,1.72,1.97,0.17
October,2,925,"1,084","1,211",73.2,1.05,1.48,1.78,0.17,1.42,1.76,2.02,0.17
October,3,930,"1,091","1,217",74.0,1.16,1.49,1.81,0.16,1.45,1.77,2.04,0.17
October,4,934,"1,087","1,210",73.8,1.19,1.48,1.77,0.16,1.40,1.76,2.02,0.17
October,5,904,"1,051","1,167",66.7,1.13,1.42,1.67,0.15,1.37,1.70,1.94,0.16
October,6,825,961,"1,067",56.0,0.90,1.28,1.52,0.14,1.30,1.54,1.77,0.14
October,7,774,876,"1,012",59.7,0.78,1.15,1.45,0.13,1.17,1.40,1.69,0.13
October,8,726,835,978,58.5,0.73,1.10,1.38,0.12,1.13,1.33,1.61,0.12
October,9,722,830,957,53.4,0.72,1.09,1.38,0.12,1.10,1.32,1.59,0.12
October,10,741,834,920,46.5,0.72,1.10,1.32,0.12,1.10,1.33,1.53,0.11
October,11,757,841,918,45.6,0.74,1.11,1.33,0.12,1.11,1.34,1.54,0.11
October,12,769,854,953,49.5,0.76,1.12,1.37,0.13,1.13,1.36,1.58,0.12
October,13,787,866,966,47.0,0.78,1.14,1.37,0.12,1.16,1.38,1.60,0.12
October,14,791,872,977,49.2,0.77,1.15,1.44,0.13,1.16,1.39,1.63,0.12
October,15,816,879,987,50.3,0.86,1.16,1.47,0.13,1.16,1.40,1.65,0.13
October,16,805,881,990,52.5,0.89,1.16,1.47,0.13,1.17,1.41,1.65,0.13
October,17,799,875,984,52.8,0.89,1.15,1.45,0.14,1.14,1.40,1.62,0.13
October,18,786,854,959,52.0,0.88,1.12,1.39,0.13,1.13,1.36,1.57,0.13
October,19,756,832,929,49.8,0.81,1.09,1.37,0.14,1.11,1.32,1.55,0.13
October,20,746,820,914,48.3,0.79,1.08,1.36,0.13,1.07,1.31,1.52,0.13
October,21,769,842,942,51.7,0.83,1.12,1.40,0.13,1.11,1.35,1.57,0.13
